_id,Codice_IPA,Denominazione_ente,Tipologia,homepage_status,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
3087,c_b645,Comune di Capaci,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,37,15,11
3088,c_b646,Comune di Capalbio,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,27,7,32
3089,c_b647,Comune di Capannoli,Pubbliche Amministrazioni,ok,Drupal,,Drupal,Bootstrap Italia,high,15,58,6
3090,c_b648,Comune di Capannori,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,21,7,5
3091,c_b649,Comune di Capena,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
3092,c_b650,Comune di Capergnanica,Pubbliche Amministrazioni,ok,,Laravel,,Bootstrap Italia,low,6,7,4
3093,c_b651,Comune di Capestrano,Pubbliche Amministrazioni,ok,,"React,Laravel,jQuery",,Bootstrap Italia,low,6,7,10
3094,c_b653,Comune di Capiago Intimiano,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
3095,c_b655,Comune di Capistrano,Pubbliche Amministrazioni,ok,Laravel,,,Bootstrap Italia,medium,5,3,5
3096,c_b656,Comune di Capistrello,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,medium,6,5,3
3097,c_b658,Comune di Capitignano,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3098,c_b660,Comune di Capizzi,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,15,8,9
3099,c_b661,Comune di Capizzone,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3100,c_b662,Comune di Ponte nelle Alpi,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,11,1,16
3101,c_b663,Comune di Capodimonte,Pubbliche Amministrazioni,ok,,Laravel,,Bootstrap Italia,low,6,7,4
3102,c_b664,Comune di Capo di Ponte,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,14,4,2
3103,c_b666,Comune di Capo D'Orlando,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,8,5,4
3104,c_b667,Comune di Capodrise,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
3105,c_b669,Comune di Capoliveri,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,17,16,8
3106,c_b670,Comune di Capolona,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
3107,c_b671,Comune di Caponago,Pubbliche Amministrazioni,ok,Laravel,jQuery,,Bootstrap Italia,medium,6,3,7
3108,c_b672,Comune di Caporciano,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3109,c_b674,Comune di Caposele,Pubbliche Amministrazioni,ok,ASP.NET,"React,jQuery",,Bootstrap Italia,high,15,20,23
3110,c_b675,Comune di Capoterra,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,27,10,2
3111,c_b676,Comune di Capovalle,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,5,3,2
3112,c_b677,Comune di Cappadocia,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,5,3,1
3113,c_b678,Comune di Cappella Maggiore,Pubbliche Amministrazioni,ok,WordPress,,WordPress,"Bootstrap Italia,Tailwind CSS",high,40,16,10
3114,c_b680,Comune di Cappella De' Picenardi,Pubbliche Amministrazioni,ok,WordPress,,WordPress,,high,7,12,7
3115,c_b681,Comune di Cappelle sul Tavo,Pubbliche Amministrazioni,ok,Laravel,,,Bootstrap Italia,medium,5,3,5
3116,c_b682,Comune di Capracotta,Pubbliche Amministrazioni,ok,,,,Bootstrap,low,7,7,1
3117,c_b684,Comune di Capraia e Limite,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,23,23,9
3118,c_b685,Comune di Capraia Isola,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,11,1,7
3119,c_b686,Comune di Capralba,Pubbliche Amministrazioni,ok,Laravel,,,Bootstrap Italia,medium,5,3,5
3120,c_b687,Comune di Capranica Prenestina,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,26,14,11
3121,c_b688,Comune di Capranica,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,20,12,10
3122,c_b689,Comune di Marzabotto,Pubbliche Amministrazioni,ok,,,,,low,8,0,3
3123,c_b690,Comune di Caprarica di Lecce,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,32,12,13
3124,c_b691,Comune di Caprarola,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,25,6,10
3125,c_b692,Comune di Caprauna,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3126,c_b693,Comune di Caprese Michelangelo,Pubbliche Amministrazioni,ok,,Laravel,,,low,6,5,1
3127,c_b694,Comune di Caprezzo,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,3,6,6
3128,c_b695,Comune di Capri Leone,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3129,c_b696,Comune di Capri,Pubbliche Amministrazioni,ok,WordPress,,WordPress,,high,2,1,6
3130,c_b697,Comune di Capriana,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,5,3,1
3131,c_b698,Comune di Capriano del Colle,Pubbliche Amministrazioni,ok,,Laravel,,Bootstrap Italia,low,6,7,4
3132,c_b701,Comune di Capriata D'Orba,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3133,c_b703,Comune di Capriate San Gervasio,Pubbliche Amministrazioni,ok,Drupal,,Drupal,Bootstrap Italia,high,43,35,6
3134,c_b704,Comune di Capriati a Volturno,Pubbliche Amministrazioni,ok,,,,Bootstrap,low,7,7,1
3135,c_B705,Comune di Caprie,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,medium,3,4,4
3136,c_b706,Comune di Capriglia Irpina,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
